d_measured,d_error,theta_measured,theta_error
1.326,0.097,0.003,0.002
1.326,0.097,0.003,0.002
1.326,0.097,0.003,0.002
1.333,0.090,0.003,0.002
1.333,0.090,0.003,0.002
1.333,0.090,0.003,0.002
1.333,0.090,0.003,0.002
1.333,0.090,0.003,0.002
1.333,0.090,0.003,0.002
1.326,0.097,0.003,0.002
1.326,0.097,0.003,0.002
1.333,0.090,0.003,0.002
1.333,0.090,0.003,0.002
1.326,0.097,0.003,0.002
1.326,0.097,0.003,0.002
1.333,0.090,0.003,0.002
1.333,0.090,0.003,0.002
1.326,0.097,0.003,0.002
1.326,0.097,0.003,0.002
1.333,0.090,0.003,0.002
1.333,0.090,0.003,0.002
1.326,0.097,0.003,0.002
1.326,0.097,0.003,0.002
1.326,0.097,0.003,0.002
1.326,0.097,0.003,0.002
1.340,0.084,0.003,0.002
1.340,0.084,0.003,0.002
1.326,0.097,0.003,0.002
1.326,0.097,0.003,0.002
1.333,0.090,0.003,0.002
1.333,0.090,0.003,0.002
1.333,0.090,0.003,0.002
1.333,0.090,0.003,0.002
1.333,0.090,0.003,0.002
1.333,0.090,0.003,0.002
1.333,0.090,0.003,0.002
1.333,0.090,0.003,0.002
1.333,0.090,0.003,0.002
1.333,0.090,0.003,0.002
1.326,0.097,0.003,0.002
1.326,0.097,0.003,0.002
1.326,0.097,0.003,0.000
1.326,0.097,0.003,0.000
1.333,0.090,0.003,0.000
1.333,0.090,0.004,0.001
1.326,0.097,0.004,0.024
1.326,0.097,0.008,0.019
1.365,0.058,0.008,0.021
1.365,0.058,0.239,0.209
1.327,0.096,0.239,0.207
1.327,0.096,0.032,0.000
1.334,0.089,0.032,0.005
1.334,0.089,0.035,0.002
1.368,0.055,0.035,0.006
1.368,0.055,0.248,0.207
1.334,0.089,0.248,0.205
1.334,0.089,0.042,0.000
1.334,0.089,0.042,0.005
1.334,0.089,0.047,0.000
1.335,0.089,0.047,0.011
1.335,0.089,0.051,0.007
1.328,0.095,0.051,0.011
1.328,0.095,0.056,0.005
1.329,0.095,0.056,0.012
1.329,0.095,0.060,0.008
1.336,0.087,0.060,0.019
1.336,0.087,0.072,0.012
1.324,0.099,0.072,0.035
1.324,0.099,0.083,0.024
1.333,0.091,0.083,0.036
1.333,0.091,0.100,0.019
1.323,0.100,0.100,0.043
1.323,0.100,0.124,0.019
1.340,0.083,0.124,0.039
1.340,0.083,0.145,0.018
1.338,0.086,0.145,0.052
1.338,0.086,0.168,0.029
1.330,0.094,0.168,0.039
1.330,0.094,0.188,0.019
1.332,0.092,0.188,0.025
1.332,0.092,0.197,0.016
1.336,0.088,0.197,0.030
1.336,0.088,0.211,0.016
1.328,0.097,0.211,0.054
1.328,0.097,0.227,0.038
1.329,0.097,0.227,0.095
1.329,0.097,0.269,0.052
1.329,0.098,0.269,0.066
1.329,0.098,0.302,0.034
1.327,0.100,0.302,0.069
1.327,0.100,0.327,0.050
1.328,0.100,0.327,0.071
1.328,0.100,0.341,0.056
1.331,0.097,0.341,0.076
1.331,0.097,0.361,0.056
1.330,0.099,0.361,0.072
1.330,0.099,0.395,0.039
1.326,0.104,0.395,0.064
1.326,0.104,0.419,0.040
1.331,0.100,0.419,0.081
1.331,0.100,0.447,0.053
1.327,0.105,0.447,0.077
1.327,0.105,0.468,0.056
1.321,0.111,0.468,0.059
1.321,0.112,0.477,0.062
1.312,0.121,0.477,0.080
1.312,0.121,0.497,0.059
1.318,0.116,0.497,0.082
1.318,0.116,0.505,0.074
1.338,0.097,0.505,0.088
1.338,0.097,0.524,0.069
