d_measured,d_error,theta_measured,theta_error
1.326,-0.093,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.340,-0.079,0.006,0.002
1.340,-0.079,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.346,-0.072,0.006,0.002
1.346,-0.072,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.340,-0.079,0.006,0.002
1.340,-0.079,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.340,-0.079,0.006,0.002
1.340,-0.079,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.340,-0.079,0.006,0.002
1.340,-0.079,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.340,-0.079,0.006,0.002
1.340,-0.079,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.340,-0.079,0.006,0.002
1.340,-0.079,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.333,-0.086,0.006,0.002
1.333,-0.086,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.340,-0.079,0.006,0.002
1.340,-0.079,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.340,-0.079,0.006,0.002
1.340,-0.079,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.093,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.340,-0.079,0.006,0.002
1.340,-0.079,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.340,-0.079,0.006,0.002
1.340,-0.079,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.333,-0.086,0.006,0.002
1.333,-0.086,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.320,-0.099,0.006,0.002
1.320,-0.099,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
1.326,-0.092,0.006,0.002
